stay_date,direct_rate_usd,comparable_median_usd,gap_usd,comparable_count,competitor_rates,action,comparison_basis,source_url,retrieved_at,competitor_sources
2026-09-06,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-07,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-08,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-09,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-10,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-11,179,214.0,35.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-12,179,214.0,35.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-13,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-14,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-15,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-16,149,UNKNOWN,UNKNOWN,1,DEMO A: 159.00 | DEMO B: 179.00,"Resolve room, occupancy, tax, meal and cancellation comparability before comparing rates.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; Meal inclusion differs: excluded from median | DEMO B: synthetic; All terms match in this fictional example
2026-09-17,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-18,179,214.0,35.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-19,179,214.0,35.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
